companyid,locationid,patientid,clientid,breed,species,age
V123289,1-Jan,688,429,AKITA,CANINE,4
V123289,1-Jan,653,472,DOMESTIC LONGHAIR,FELINE,6
V123289,1-Jan,384,189,MORKIEPOO,CANINE,5
V123289,1-Jan,147,180,RAT,RODENT,16
V123289,1-Jan,448,266,AUSTRALIAN CATTLE DOG,CANINE,3
V123289,1-Jan,183,163,BEARDED DRAGON,REPTILE,11
V123289,1-Jan,798,136,DSH,FELINE,19
V123289,1-Jan,375,370,DSH (DOMESTIC SHORT-HAIR),FELINE,22
V123289,1-Jan,876,138,AKITA,CANINE,9
V123289,1-Jan,672,315,DOBERMAN PINSCHER MINIATURE,CANINE,18
V123289,1-Jan,332,309,LEONBERGER,CANINE,2
V123289,1-Jan,824,412,DOMESTIC MEDIUM HAIR,FELINE,5
V123289,1-Jan,262,182,JACK RUSSELL,CANINE,24
V123289,1-Jan,542,372,LABRADOR RETRIEVER,DOG,17
V123289,1-Jan,487,426,CUR MIX,CANINE,8
V123289,1-Jan,365,462,AUSTRAL. BLUE HEELER,DOG,11
V123289,1-Jan,609,201,PINSCHER DOBERMAN,CANINE,1
V123289,1-Jan,610,224,DSH,FELINE,16
V123289,1-Jan,790,210,LHASA APSO,CANINE,10
V123289,1-Jan,554,399,BIRMAN,FELINE,20
V123289,1-Jan,796,386,DOMESTIC SHORTHAIR,FELINE,14
V123289,1-Jan,336,168,DOMESTIC SHORT HAIR,FELINE,20
V123289,1-Jan,665,346,DOMESTIC SHORTHAIR,FELINE,22
V123289,1-Jan,247,232,MIXED,CANINE,17
V123289,1-Jan,320,186,YORKSHIRE TERRIER,CANINE,12
V123289,1-Jan,749,498,COTON,CANINE,15
V123289,1-Jan,218,188,TERRIER MIX,CANINE,2
V123289,1-Jan,470,489,BEAGLE,CANINE,19
V123289,1-Jan,227,100,CHIHUAHUA MIX,CANINE,19
V123289,1-Jan,350,157,GERMAN SHEPHERD MIX,CANINE,16
V123289,1-Jan,827,156,CHIHUAHUA,CANINE,6
V123289,1-Jan,948,283,MOUNTAIN CUR,CANINE,24
V123289,1-Jan,466,447,LABRADOR RETRIEVER,CANINE,13
V123289,1-Jan,133,302,DOMESTIC SHORTHAIRR,FELINE,13
V123289,1-Jan,372,252,HIMALAYAN X,FELINE,12
V123289,1-Jan,216,314,DOMESTIC SHORTHAIR,FELINE,16
V123289,1-Jan,922,497,DOMESTIC MEDIUMHAIR,FELINE,9
V123289,1-Jan,528,452,BERNESE MOUNTAIN DOG,CANINE,18
V123289,1-Jan,483,293,GERMAN PINSCHER,DOG,11
V123289,1-Jan,585,432,DSH,FELINE,17
V123289,1-Jan,616,134,BOXER,CANINE,17
V123289,1-Jan,757,444,LAB,CANINE,7
V123289,1-Jan,810,462,GREAT DANE,CANINE,13
V123289,1-Jan,340,290,CHI,CANINE,19
V123289,1-Jan,396,318,LABRADOR RETRIEVER,CANINE,14
V123289,1-Jan,353,324,RAT TERRIER,DOG,19
V123289,1-Jan,750,134,DOMESTIC SHORTHAIR,FELINE,24
V123289,1-Jan,848,108,TOY POODLE,CANINE,22
V123289,1-Jan,500,148,TERRIER  YORKSHIRE,CANINE,12
V123289,1-Jan,858,287,CHIHUAHUA,CANINE,6
V123289,1-Jan,261,303,DACHSHUND,CANINE,17
V123289,1-Jan,494,280,RETRIEVER  LABRADOR,CANINE,9
V123289,1-Jan,811,105,DOMESTIC SHORTHAIR,FELINE,20
V123289,1-Jan,188,361,SHEPHERD MIX,CANINE,23
V123289,1-Jan,399,417,RETRIEVER LABRADOR,CANINE,21
V123289,1-Jan,431,170,SCHNAUZER  MINIATURE,CANINE,11
V123289,1-Jan,517,438,UNKNOWN FELINE,FELINE,2
V123289,1-Jan,182,210,GERMAN SHEP MIX,CANINE,15
V123289,1-Jan,902,228,SHIH TZU,CANINE,12
V123289,1-Jan,788,396,CHIHUAHUA,CANINE,19
V123289,1-Jan,765,450,CHIHUAHUA SMOOTH,CANINE,17
V123289,1-Jan,441,481,MASTIFF,CANINE,12
V123289,1-Jan,934,171,RETRIEVER LABRADOR,CANINE,23
V123289,1-Jan,146,352,THOUROUGHBRED,EQUINE,16
V123289,1-Jan,629,317,AUSTRALIAN SHEPHERD,CANINE,7
V123289,1-Jan,652,142,SHORTHAIR DOMESTIC,FELINE,17
V123289,1-Jan,521,294,PITBULL MIX,CANINE,13
V123289,1-Jan,245,254,ENGLISH SETTER,DOG,17
V123289,1-Jan,177,414,OTHER AVIAN,AVIAN,13
V123289,1-Jan,455,162,OTHER BREED,OTHER SMALL,24
V123289,1-Jan,119,345,SHIH TZU,CANINE,20
V123289,1-Jan,468,498,DOMESTIC MEDIUMHAIR,FELINE,16
V123289,1-Jan,348,426,CAVALIER KING CHARLES SPANIEL,CANINE,16
V123289,1-Jan,106,220,CHOW CHOW MIX,CANINE,23
V123289,1-Jan,122,136,BOSTON,DOG,16
V123289,1-Jan,888,216,MIXED,CANINE,6
V123289,1-Jan,519,499,SHEPHERD AUSTRALIAN,CANINE,9
V123289,1-Jan,259,135,COLLIE  BORDER,CANINE,5
V123289,1-Jan,268,275,CHIHUAHUA,CANINE,15
V123289,1-Jan,774,261,DOMESTIC LONGHAIR,FELINE,8
V123289,1-Jan,718,450,MIXED,DOG,15
V123289,1-Jan,373,327,SHORTHAIR  AMERICAN,FELINE,17
V123289,1-Jan,914,410,LABRADOR RETRIEVER,CANINE,18
V123289,1-Jan,327,291,DOMESTIC SHORT HAIR,FELINE,22
V123289,1-Jan,596,400,PORTUGESE WATER DOG,CANINE,11
V123289,1-Jan,253,497,DOMESTIC LONG HAIR,FELINE,22
V123289,1-Jan,195,294,PIT BULL MIX,CANINE,13
V123289,1-Jan,382,350,BOXER MIX,DOG,6
V123289,1-Jan,674,179,SIAMESE,FELINE,10
V123289,1-Jan,582,251,DOMESTIC MEDIUM HAIR,FELINE,15
V123289,1-Jan,837,209,COONHOUND BLUETICK,CANINE,5
V123289,1-Jan,700,398,310059,CANINE,17
V123289,1-Jan,131,368,RAT,RODENT,16
V123289,1-Jan,694,313,BLUE HEELER  AUSTRALIAN,CANINE,24
V123289,1-Jan,481,472,POODLE MINIATURE,CANINE,11
V123289,1-Jan,834,149,MIXED,CANINE,16
V123289,1-Jan,161,361,MIXED,DOG,11
V123289,1-Jan,509,108,PITBULL,CANINE,12
V123289,1-Jan,989,390,SHIH TZU,DOG,6
V123289,1-Jan,968,277,AUST BLUE HEELER/MIX,CANINE,23
V123289,1-Jan,759,270,SHORTHAIR  DOMESTIC,FELINE,11
V123289,1-Jan,435,308,LABRADOR RETRV,CANINE,20
V123289,1-Jan,706,175,MORKIE,CANINE,14
V123289,1-Jan,854,211,DOMESTIC SHORTHAIR,FELINE,15
V123289,1-Jan,136,191,MIXED (BREED),CANINE,18
V123289,1-Jan,308,347,AUSTRALIAN CATTLE DOG,CANINE,15
V123289,1-Jan,512,211,PONY -MIXED BREED,EQUINE,24
V123289,1-Jan,932,147,DSH,FELINE,7
V123289,1-Jan,174,338,MIXED,CANINE,23
V123289,1-Jan,615,196,DOMESTIC SHORTHAIR,FELINE,14
V123289,1-Jan,924,237,PITBULL TERRIER,CANINE,11
V123289,1-Jan,595,298,AMERICAN QUARTER HORSE,EQUINE,9
V123289,1-Jan,875,114,SCHNAUZER  MINIATURE,CANINE,3
V123289,1-Jan,721,128,DSH,FELINE,4
V123289,1-Jan,568,467,LABRADOR RETRIEVER,CANINE,12
V123289,1-Jan,929,410,DSH SHORT,FELINE,13
V123289,1-Jan,648,209,BOXER,CANINE,21
V123289,1-Jan,155,153,DOMESTIC SHORTHAIR,FELINE,22
V123289,1-Jan,276,380,BOXER,CANINE,18
V123289,1-Jan,302,366,LABRADOR RET MIX,CANINE,10
V123289,1-Jan,786,296,WELSH TERRIER,CANINE,10
V123289,1-Jan,552,120,CHINESE PUG,CANINE,17
V123289,1-Jan,209,192,MEDIUMHAIR  DOMESTIC,FELINE,14
V123289,1-Jan,437,405,PINSCHER  DOBERMAN,CANINE,15
V123289,1-Jan,787,154,WEIMARANER,CANINE,22
V123289,1-Jan,404,226,COONHOUND,CANINE,14
V123289,1-Jan,317,196,SHARPEI,DOG,9
V123289,1-Jan,928,174,SHORTHAIR  DOMESTIC,FELINE,22
V123289,1-Jan,981,299,YORKSHIRE TERRIER,CANINE,19
V123289,1-Jan,409,253,AMER SHORTHAIR,FELINE,16
V123289,1-Jan,838,245,SHORTHAIR  DOMESTIC,FELINE,20
V123289,1-Jan,198,171,GUINEA PIG SHORT HAIR,CAVIA,21
V123289,1-Jan,571,274,DOMESTIC SHORT HAIR,FELINE,19
V123289,1-Jan,937,350,AMERICAN PIT BULL TERRIER MIX,CANINE,13
V123289,1-Jan,569,372,GOLDEN RETRIEVER MIX,CANINE,24
V123289,1-Jan,123,339,DOMESTIC SHORTHAIR,FELINE,16
V123289,1-Jan,799,376,GREAT PYRENEES,CANINE,18
V123289,1-Jan,243,164,TOY POODLE,CANINE,17
V123289,1-Jan,358,227,HOUND MIX,CANINE,11
V123289,1-Jan,690,401,TERRIER  YORKSHIRE,CANINE,16
V123289,1-Jan,445,340,RUSSIAN BLUE MIX,CAT,21
V123289,1-Jan,502,272,LANDRACE,CAPRINE,9
V123289,1-Jan,469,233,BULLDOG FRENCH,DOG,7
V123289,1-Jan,295,118,DLH,FELINE,12
V123289,1-Jan,733,246,RETRIEVER LABRADOR,CANINE,24
V123289,1-Jan,830,192,GOLDEN RETRVR.,DOG,19
V123289,1-Jan,137,283,SPANIEL  COCKER,CANINE,7
