companyid,locationid,state,patientid,procedure_code,production,description,week_start_date,year
V123289,1-Jan,MN,332,I910,71.0,IDEXX URINALYSIS,2017-01-02,2017
V123289,1-Jan,MN,749,24639,88.57,IDEXX FECAL DX PROFILE W GIARDIA,2017-01-09,2017
V123289,1-Jan,MN,445,I910,71.0,IDEXX URINALYSIS,2017-02-20,2017
V123289,1-Jan,MN,128,IDX105,61.81,IDEXX CBC,2017-04-03,2017
V123289,1-Jan,MN,294,490IDX,40.5,IDEXX HEARTWORM SNAP TEST,2017-05-01,2017
V123289,1-Jan,MN,689,IDX10,64.89,IDEXX FELV + FIV TEST (IN HOUSE),2017-06-05,2017
V123289,1-Jan,MN,845,1248,290.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2017-06-12,2017
V123289,1-Jan,MN,705,FAAP,168.87,FELINE ADULT ANNUAL LAB PROFILE - IDEXX,2017-06-26,2017
V123289,1-Jan,MN,745,4DX,58.0,IDEXX SNAP 4DX PLUS HEARTWORM TEST,2017-06-26,2017
V123289,1-Jan,MN,377,I381099,221.0,XXXA S (CBC/CH25/UA) IDEXX 38109999,2017-07-03,2017
V123289,1-Jan,MN,904,IL5010,53.49,IDEXX OVA AND PARASITES 3 OR MORE,2017-07-17,2017
V123289,1-Jan,MN,925,776,127.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2017-07-24,2017
V123289,1-Jan,MN,904,6240,156.0,SA IDEXX B12(2013),2017-07-24,2017
V123289,1-Jan,MN,472,IDX2,211.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2017-07-31,2017
V123289,1-Jan,MN,938,27007,172.0,SENIOR PROFILE - IDEXX,2017-08-07,2017
V123289,1-Jan,MN,164,3231,54.96,FECAL O&P PRIMATE - IDEXX #320389,2017-09-11,2017
V123289,1-Jan,MN,744,IDX105,61.81,IDEXX CBC,2017-10-02,2017
V123289,1-Jan,MN,342,24639,72.0,IDEXX FECAL O&P W GIARDIA,2017-11-06,2017
V123289,1-Jan,MN,487,1248,287.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2017-11-20,2017
V123289,1-Jan,MN,320,75PCMET,245.0,PCMET IDEXX TOTAL BODY HEALTH (75),2017-12-25,2017
V123289,1-Jan,MN,286,HW,64.0,IDEXX - HEARTWORM SNAP,2018-02-19,2018
V123289,1-Jan,MN,917,IL31829,134.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2018-03-12,2018
V123289,1-Jan,MN,122,776,125.59,IDEXX URINE CULTURE AND SUSCEPTIBILI,2018-03-26,2018
V123289,1-Jan,MN,594,IL45139,175.61,FE SR. WELL TO IDEXX CCC ADD CODE 3869,2018-03-26,2018
V123289,1-Jan,MN,843,I7723,45.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2018-03-26,2018
V123289,1-Jan,MN,426,IL75B,170.0,IDEXX TOTAL HEALTH PLUS BASIC**,2018-04-16,2018
V123289,1-Jan,MN,604,3231,56.96,FECAL O&P PRIMATE - IDEXX #320381,2018-05-21,2018
V123289,1-Jan,MN,743,24639,84.57,IDEXX FECAL DX PROFILE W GIARDIA,2018-05-21,2018
V123289,1-Jan,MN,900,3231,55.96,FECAL O&P PRIMATE - IDEXX #320437,2018-06-25,2018
V123289,1-Jan,MN,546,IL7244,52.47,IDEXX LAB 4DX PLUS TEST - CANINE,2018-07-16,2018
V123289,1-Jan,MN,963,AC100,94.9,IDEXX 4DX  W REFLEX,2018-08-06,2018
V123289,1-Jan,MN,811,176140,33.0,IDEXX CATALYST LYTE 4,2018-09-24,2018
V123289,1-Jan,MN,189,1248,283.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2018-10-01,2018
V123289,1-Jan,MN,903,IL7244,56.47,IDEXX LAB 4DX PLUS TEST - CANINE,2018-10-01,2018
V123289,1-Jan,MN,738,2463,62.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2018-11-12,2018
V123289,1-Jan,MN,189,HF248,190.0,ZRADIOLOGY CONSULT (IDEXX) HF,2018-11-19,2018
V123289,1-Jan,MN,697,FECALDX,78.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2018-12-24,2018
V123289,1-Jan,MN,683,2463,58.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2018-12-24,2018
V123289,1-Jan,MN,202,I7723,41.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2019-01-07,2019
V123289,1-Jan,MN,945,2463,61.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2019-02-18,2019
V123289,1-Jan,MN,100,75PCMET,248.0,PCMET IDEXX TOTAL BODY HEALTH (75),2019-03-25,2019
V123289,1-Jan,MN,963,IL22159,91.0,IDEXX PRE-OP PANEL/ADULT PANEL,2019-04-22,2019
V123289,1-Jan,MN,118,IDEXX5013L,48.75,IDEXX - FECAL DX - TO LAB,2019-06-10,2019
V123289,1-Jan,MN,457,176140,34.0,IDEXX CATALYST LYTE 4,2019-07-01,2019
V123289,1-Jan,MN,683,IL31829,99.92,IDEXX K9 COMP PARASITE SCREEN,2019-07-01,2019
V123289,1-Jan,MN,237,I7723,45.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2019-07-29,2019
V123289,1-Jan,MN,337,FDX,53.0,FECAL DX (IDEXX),2019-07-29,2019
V123289,1-Jan,MN,762,IRL24639,42.56,IDEXX FECAL DX PROFILE W GIARDIA,2019-09-02,2019
V123289,1-Jan,MN,784,31803,128.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2019-09-30,2019
V123289,1-Jan,MN,415,75PCMET,255.0,PCMET IDEXX TOTAL BODY HEALTH (75),2019-10-07,2019
V123289,1-Jan,MN,465,IL9400,109.15,IDEXX URINALYSIS WITH UPC,2019-10-14,2019
V123289,1-Jan,MN,814,759999,200.0,IDEXX CHEM 27CBCTT4(TOTAL HEALTH PLUS),2019-10-14,2019
V123289,1-Jan,MN,604,31803,132.0,FECAL DX/LAB 4DX PLUS IDEXX 31803,2019-11-18,2019
V123289,1-Jan,MN,850,910,66.04,URINALYSIS ~ IDEXX,2019-12-09,2019
V123289,1-Jan,MN,487,URINE,64.5,URINALYSIS IN HOUSE - IDEXX,2019-12-30,2019
V123289,1-Jan,MN,658,RX7244,66.0,4DX HEARTWORM - IDEXX,2020-01-20,2020
V123289,1-Jan,MN,170,490IDX,42.5,IDEXX HEARTWORM SNAP TEST,2020-03-09,2020
V123289,1-Jan,MN,780,IL5199,49.48,IDEXX FECAL DX ANTIGEN,2020-04-13,2020
V123289,1-Jan,MN,110,1248,290.9,RADIOGRAPH INTERPRETATION  STAT IDEXX,2020-05-25,2020
V123289,1-Jan,MN,151,I7723,42.76,IDEXX HEARTWORM ANTIGEN BY ELISA,2020-07-13,2020
V123289,1-Jan,MN,238,3231,60.96,FECAL O&P PRIMATE - IDEXX #320381,2020-07-27,2020
V123289,1-Jan,MN,122,IL5199,42.48,IDEXX FECAL DX ANTIGEN,2020-08-31,2020
V123289,1-Jan,MN,387,IL45139,171.61,FE SR. WELL TO IDEXX CCC ADD CODE 3869,2020-10-05,2020
V123289,1-Jan,MN,924,IL9101,88.73,IDEXX URINALYSIS ADD-ON,2020-10-05,2020
V123289,1-Jan,MN,751,IL45139,165.61,FE SR. WELL TO IDEXX CCC ADD CODE 3869,2020-10-19,2020
V123289,1-Jan,MN,294,3231,58.96,FECAL O&P PRIMATE - IDEXX #320438,2020-10-26,2020
V123289,1-Jan,MN,815,HF248,193.0,ZRADIOLOGY CONSULT (IDEXX) HF,2020-11-30,2020
V123289,1-Jan,MN,875,FDX,49.0,FECAL DX (IDEXX),2020-12-07,2020
V123289,1-Jan,MN,816,13867,75.0,IDEXX PHENOBARBITAL (1000),2020-12-28,2020
V123289,1-Jan,MN,322,FECAL,77.0,FECAL FLOAT (TO IDEXX LAB),2021-01-18,2021
V123289,1-Jan,MN,101,IL75B,171.0,IDEXX TOTAL HEALTH PLUS BASIC**,2021-02-08,2021
V123289,1-Jan,MN,614,SA705,120.9,IDEXX SENIOR CBCCHEMT4 (NEED UA),2021-03-15,2021
V123289,1-Jan,MN,682,2463,59.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2021-04-05,2021
V123289,1-Jan,MN,735,42739999,431.7,IDEXX CANINE BLOODWORK PACKAGE,2021-08-02,2021
V123289,1-Jan,MN,848,3231,52.96,FECAL O&P PRIMATE - IDEXX #320389,2021-09-13,2021
V123289,1-Jan,MN,242,48019999,279.0,FELINE PLUS (IDEXX),2021-09-13,2021
V123289,1-Jan,MN,745,IL22159,85.0,IDEXX PRE-OP PANEL/ADULT PANEL,2021-10-18,2021
V123289,1-Jan,MN,101,27007,157.0,SENIOR PROFILE - IDEXX,2021-10-18,2021
V123289,1-Jan,MN,237,3231,53.96,FECAL O&P PRIMATE - IDEXX #320437,2021-11-22,2021
V123289,1-Jan,MN,211,FECA,39.0,FECAL PANEL TO IDEXX,2022-02-07,2022
V123289,1-Jan,MN,969,IL75B,172.0,IDEXX TOTAL HEALTH PLUS BASIC**,2022-04-11,2022
V123289,1-Jan,MN,863,IDX10,66.89,IDEXX FELV + FIV TEST (IN HOUSE),2022-05-02,2022
V123289,1-Jan,MN,979,4871999,105.0,IDEXX K9 CHEM10/SDMA/CBC/4DX/IPS,2022-05-16,2022
V123289,1-Jan,MN,869,FECALDX,75.8,IDEXX: FECAL DX W GIARDIA - WELLNESS,2022-06-20,2022
V123289,1-Jan,MN,121,3231,56.96,FECAL O&P PRIMATE - IDEXX #320437,2022-07-25,2022
V123289,1-Jan,MN,982,IDEXX5013L,42.75,IDEXX - FECAL DX - TO LAB,2022-08-29,2022
V123289,1-Jan,MN,666,IDX105,55.81,IDEXX CBC,2022-09-12,2022
V123289,1-Jan,MN,374,IL9101,84.73,IDEXX URINALYSIS ADD-ON,2022-09-26,2022
V123289,1-Jan,MN,686,IL9101,87.73,IDEXX URINALYSIS ADD-ON,2022-10-10,2022
V123289,1-Jan,MN,431,IL31829,127.0,IDEXX 4DX + FECAL - COMPREHENSIVE,2022-10-10,2022
V123289,1-Jan,MN,561,75PCMET,261.0,PCMET IDEXX TOTAL BODY HEALTH (75),2022-10-17,2022
V123289,1-Jan,MN,106,IDX2,199.83,IDEXX COMP PANEL WSDMA (IN HOUSE),2023-01-16,2023
V123289,1-Jan,MN,960,27007,172.0,SENIOR PROFILE - IDEXX,2023-03-06,2023
V123289,1-Jan,MN,943,IR501,45.0,IDEXX FECAL O&P,2023-03-06,2023
V123289,1-Jan,MN,926,910,74.8,IDEXX URINALYSIS,2023-05-15,2023
V123289,1-Jan,MN,807,HW,56.0,IDEXX - HEARTWORM SNAP,2023-07-17,2023
V123289,1-Jan,MN,763,6240,166.0,SA IDEXX B12(2013),2023-07-24,2023
V123289,1-Jan,MN,757,3231,52.96,FECAL O&P PRIMATE - IDEXX #320388,2023-09-18,2023
V123289,1-Jan,MN,815,HW,60.0,IDEXX - HEARTWORM SNAP,2023-09-25,2023
V123289,1-Jan,MN,833,2463,57.0,IDEXX FECAL OVA PARASITES WITH GIARDIA,2023-10-16,2023
V123289,1-Jan,MN,524,3231,58.96,FECAL O&P PRIMATE - IDEXX #320381,2023-12-18,2023
V133130,1-Jan,WA,212,IL5199,43.48,IDEXX FECAL DX ANTIGEN,2017-01-02,2017
V133130,1-Jan,WA,680,IL9101,85.73,IDEXX URINALYSIS ADD-ON,2017-01-16,2017
V133130,1-Jan,WA,594,27013,76.0,CBC - IDEXX,2017-01-16,2017
V133130,1-Jan,WA,968,910,71.04,URINALYSIS ~ IDEXX,2017-01-23,2017
V133130,1-Jan,WA,490,T4,51.5,IDEXX T4,2017-02-06,2017
